0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:44 -0300] "GET /TCC_AGORA/img/339410.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:46 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:47 -0300] "GET /TCC_AGORA/Login.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/index.html HTTP/1.1" 200 9664
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/css/css.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/Logo3.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/js/Jquery.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/js/custom.js HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/carousel/2.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/img_index/1A.png HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/929455.jpg HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/carousel/3.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:25:59 -0300] "GET /TCC_AGORA/img/img_index/4.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:26:03 -0300] "GET /TCC_AGORA/css/CadastroCliente.css HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:26:06 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:26:06 -0300] "GET /TCC_AGORA/index.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:26:08 -0300] "GET /TCC_AGORA/ControlProduto?action=Tabela HTTP/1.1" 500 3316
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:03 -0300] "GET /TCC_AGORA/index.jsp HTTP/1.1" 200 2874
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:04 -0300] "GET /TCC_AGORA/ControlCompra?action=Tabela HTTP/1.1" 500 3278
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:10 -0300] "POST /TCC_AGORA/ControlLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:10 -0300] "GET /TCC_AGORA/Login.xhtml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Nov/2020:10:27:10 -0300] "GET /TCC_AGORA/css/CadastroCliente.css HTTP/1.1" 404 804
